sample_index,condition,distortion_type,severity_level,clean_reference_f1,distorted_clean_control_f1,restored_clean_control_f1,distorted_distortion_aware_f1
3371,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
3559,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2510,Salt & Pepper L4,salt_pepper,4,1.0,0.800000011920929,1.0,1.0
4444,Salt & Pepper L4,salt_pepper,4,1.0,0.0,1.0,1.0
919,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
4914,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
2349,Salt & Pepper L4,salt_pepper,4,0.5,0.0,0.4000000059604645,0.0
1135,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
1439,Salt & Pepper L4,salt_pepper,4,1.0,0.6666666865348816,0.6666666865348816,1.0
791,Salt & Pepper L4,salt_pepper,4,1.0,1.0,1.0,1.0
