model,condition,distortion_type,class,mean_snr,class_f1_score,support,predicted_positive
fine_tuned_resnet50,overexposure_6,overexposure,sofa,-2.189091262686998,0.0,39,0
fine_tuned_resnet50,overexposure_6,overexposure,train,-2.189091262686998,0.13333333333333333,14,1
fine_tuned_resnet50,overexposure_6,overexposure,tvmonitor,-2.189091262686998,0.0,20,0
clean_trained_resnet50,motion_blur_1,motion_blur,aeroplane,24.34345025777817,0.9491525423728814,31,28
clean_trained_resnet50,motion_blur_1,motion_blur,bicycle,24.34345025777817,0.7567567567567568,18,19
clean_trained_resnet50,motion_blur_1,motion_blur,bird,24.34345025777817,0.8387096774193549,16,15
clean_trained_resnet50,motion_blur_1,motion_blur,boat,24.34345025777817,0.8275862068965517,14,15
clean_trained_resnet50,motion_blur_1,motion_blur,bottle,24.34345025777817,0.5357142857142857,28,28
clean_trained_resnet50,motion_blur_1,motion_blur,bus,24.34345025777817,0.8,9,11
clean_trained_resnet50,motion_blur_1,motion_blur,car,24.34345025777817,0.6444444444444445,43,47
clean_trained_resnet50,motion_blur_1,motion_blur,cat,24.34345025777817,0.8857142857142857,35,35
clean_trained_resnet50,motion_blur_1,motion_blur,chair,24.34345025777817,0.6788990825688074,58,51
clean_trained_resnet50,motion_blur_1,motion_blur,cow,24.34345025777817,0.75,10,14
